herbid,diseaseId
HERB000036,HBDIS004158
HERB000036,HBDIS004986
HERB000036,HBDIS005003
HERB000036,HBDIS006632
HERB000036,HBDIS007247
HERB000036,HBDIS008802
HERB000036,HBDIS009816
HERB000036,HBDIS010154
HERB000036,HBDIS010465
HERB000036,HBDIS010643
HERB000036,HBDIS010672
HERB000036,HBDIS010796
HERB000036,HBDIS012277
HERB000036,HBDIS012350
HERB000036,HBDIS014248
HERB000036,HBDIS014670
HERB000036,HBDIS016170
HERB000036,HBDIS018581
HERB000036,HBDIS018591
HERB000036,HBDIS018628
HERB000036,HBDIS020334
HERB000036,HBDIS020400
HERB000036,HBDIS022100
HERB000036,HBDIS025571
HERB000036,HBDIS026932
HERB000036,HBDIS026933
HERB000036,HBDIS026934
HERB000036,HBDIS026935
HERB000036,HBDIS026936
HERB000036,HBDIS000020
HERB000036,HBDIS000032
HERB000036,HBDIS000044
HERB000036,HBDIS000053
HERB000036,HBDIS000091
HERB000036,HBDIS000115
HERB000036,HBDIS000132
HERB000036,HBDIS000134
HERB000036,HBDIS000137
HERB000036,HBDIS000160
HERB000036,HBDIS000189
HERB000036,HBDIS000254
HERB000036,HBDIS000268
HERB000036,HBDIS000295
HERB000036,HBDIS000333
HERB000036,HBDIS000337
HERB000036,HBDIS000447
HERB000036,HBDIS000449
HERB000036,HBDIS000460
HERB000036,HBDIS000462
HERB000036,HBDIS000503
HERB000036,HBDIS000504
HERB000036,HBDIS000510
HERB000036,HBDIS000555
HERB000036,HBDIS000563
HERB000036,HBDIS000681
HERB000036,HBDIS000733
HERB000036,HBDIS000761
HERB000036,HBDIS000767
HERB000036,HBDIS000783
HERB000036,HBDIS000832
HERB000036,HBDIS000837
HERB000036,HBDIS000886
HERB000036,HBDIS000941
HERB000036,HBDIS000944
HERB000036,HBDIS000962
HERB000036,HBDIS000992
HERB000036,HBDIS000997
HERB000036,HBDIS001015
HERB000036,HBDIS001038
HERB000036,HBDIS001055
HERB000036,HBDIS001058
HERB000036,HBDIS001062
HERB000036,HBDIS001063
HERB000036,HBDIS001074
HERB000036,HBDIS001177
HERB000036,HBDIS001181
HERB000036,HBDIS001228
HERB000036,HBDIS001241
HERB000036,HBDIS001259
HERB000036,HBDIS001333
HERB000036,HBDIS001334
HERB000036,HBDIS001335
HERB000036,HBDIS001341
HERB000036,HBDIS001365
HERB000036,HBDIS001545
HERB000036,HBDIS001548
HERB000036,HBDIS001549
HERB000036,HBDIS001579
HERB000036,HBDIS001581
HERB000036,HBDIS001586
HERB000036,HBDIS001590
HERB000036,HBDIS001611
HERB000036,HBDIS001618
HERB000036,HBDIS001711
HERB000036,HBDIS001713
HERB000036,HBDIS001733
HERB000036,HBDIS001769
HERB000036,HBDIS001786
HERB000036,HBDIS001788
HERB000036,HBDIS001790
HERB000036,HBDIS001793
HERB000036,HBDIS001815
HERB000036,HBDIS001821
HERB000036,HBDIS001914
HERB000036,HBDIS002002
HERB000036,HBDIS002011
HERB000036,HBDIS002015
HERB000036,HBDIS002025
HERB000036,HBDIS002028
HERB000036,HBDIS002052
HERB000036,HBDIS002095
HERB000036,HBDIS002207
HERB000036,HBDIS002224
HERB000036,HBDIS002230
HERB000036,HBDIS002278
HERB000036,HBDIS002313
HERB000036,HBDIS002332
HERB000036,HBDIS002347
HERB000036,HBDIS002354
HERB000036,HBDIS002358
HERB000036,HBDIS002415
HERB000036,HBDIS002423
HERB000036,HBDIS002425
HERB000036,HBDIS002519
HERB000036,HBDIS002530
HERB000036,HBDIS002540
HERB000036,HBDIS002595
HERB000036,HBDIS002596
HERB000036,HBDIS002634
HERB000036,HBDIS002656
HERB000036,HBDIS002700
HERB000036,HBDIS002705
HERB000036,HBDIS002712
HERB000036,HBDIS002771
HERB000036,HBDIS002832
HERB000036,HBDIS002855
HERB000036,HBDIS002864
HERB000036,HBDIS002889
HERB000036,HBDIS002941
HERB000036,HBDIS003000
HERB000036,HBDIS003010
HERB000036,HBDIS003027
HERB000036,HBDIS003051
HERB000036,HBDIS003061
HERB000036,HBDIS003124
HERB000036,HBDIS003145
HERB000036,HBDIS003204
HERB000036,HBDIS003207
HERB000036,HBDIS003208
HERB000036,HBDIS003468
HERB000036,HBDIS003581
HERB000036,HBDIS003592
HERB000036,HBDIS003597
HERB000036,HBDIS003648
HERB000036,HBDIS003821
HERB000036,HBDIS003992
HERB000036,HBDIS003995
HERB000036,HBDIS004046
HERB000036,HBDIS004047
HERB000036,HBDIS004110
HERB000036,HBDIS004172
HERB000036,HBDIS004209
HERB000036,HBDIS004211
HERB000036,HBDIS004357
HERB000036,HBDIS004428
HERB000036,HBDIS004476
HERB000036,HBDIS004483
HERB000036,HBDIS004938
HERB000036,HBDIS005059
HERB000036,HBDIS005608
HERB000036,HBDIS005668
HERB000036,HBDIS005741
HERB000036,HBDIS006018
HERB000036,HBDIS006826
HERB000036,HBDIS006931
HERB000036,HBDIS006975
HERB000036,HBDIS006986
HERB000036,HBDIS007054
HERB000036,HBDIS007055
HERB000036,HBDIS007070
